mass_1 mass_2 tilt_1 tilt_2 phi_12 a_1 a_2 phi_jl theta_jn ra dec luminosity_distance geocent_time psi phase reference_frequency h1_snr l1_snr network_snr chirp_mass duration cos_tilt_2 cos_tilt_1 mass_ratio
18.69929971738124 18.69929971738124 1.1092261969848398 0.7217799055548033 0.7076099508485942 0.6 0.6 1.585878415698067 3.0298166469331496 2.5757623251389905 -0.2961659024602112 543.5255150728124 0.0 2.05358630245454 0.1 20.0 41.55104477158904 36.90985055172196 55.57721106137879 16.278685902209283 4 0.7506308964362592 0.4453544778909661 1.0
36.105941993208496 36.105941993208496 0.35938078213608143 0.13501618947685767 4.991481185058445 0.6 0.5999999999999999 1.4843741077067008 1.4080499036747498 4.445304277633331 -0.06694290471829313 790.7515373963948 0.0 0.8049045360876704 0.1 20.0 6.19333393032521 6.459611651666832 8.948964625188069 31.432048140524827 4 0.9908991521279656 0.9361147787364262 1.0
67.4629166589022 67.4629166589022 0.7784945427106741 0.9624835193445912 0.9918430233405272 0.6 0.6 3.0597155240660907 1.724506449196179 1.9801636062760448 -0.14164778365001482 714.2994132792337 0.0 0.4816740805751425 0.1 20.0 25.542406099176606 22.428229314014004 33.99176340670268 58.729880099006756 4 0.5714837413600817 0.7119714891327618 1.0
34.38028772225633 34.38028772225633 1.9683949488814148 1.948464674476026 6.238548771108831 0.6 0.6 3.483225396851946 2.6668504545385714 1.3553406201758416 0.8939653252693311 620.057334437818 0.0 2.0544253275046964 0.1 20.0 35.36949602407032 36.155555518885016 50.57890315018608 29.92977884289307 4 -0.3687541400508617 -0.387205406094004 1.0
43.89064696198662 43.89064696198662 1.2919111009075264 1.4763229856076963 6.1687058884696295 0.6 0.6 1.755275172849527 1.9204735619837263 2.2252000616987773 1.276753474014796 413.2984585092687 0.0 1.670732684859539 0.1 20.0 34.44683575602008 26.018889730947198 43.16905276275371 38.20902743618876 4 0.09433287145182026 0.2752841173460724 1.0
59.82361128640961 59.82361128640961 0.7904954344829256 0.4978256547704934 5.900761143275334 0.6000000000000001 0.6 3.8385703236376565 1.4032064619060631 5.501667167191472 -0.7698207082396317 631.1867786843051 0.0 1.1190166601737568 0.1 20.0 6.6359370895831855 7.389200328481432 9.93156294604912 52.07947850379223 4 0.878622923195153 0.7034932957791296 1.0
36.64120339510465 36.64120339510465 1.971892888199226 2.086742449224145 1.0197383629603918 0.6 0.6 0.2421449404443673 0.7936200168279051 5.326335305810254 -0.9335701664963272 532.7700630245749 0.0 2.181563409778767 0.1 20.0 18.546452863720774 13.544995720504325 22.96601451916934 31.8980202554562 4 -0.4933580319321517 -0.3904281079158772 1.0
34.09519898112071 34.09519898112071 2.889501983652469 2.2774144342315363 0.3153134258168891 0.6 0.6 0.6745124600385245 1.8125036355174708 2.2326354856099964 -0.009282599931410705 462.01321896755127 0.0 2.1015450458923484 0.1 20.0 19.52388742914199 21.590531313127656 29.108988692995748 29.681594678708066 4 -0.649265349949439 -0.9683930645581952 1.0
21.929694025689734 21.929694025689734 0.8136494002218444 0.4164721662739118 1.6236372489786093 0.6000000000000001 0.6000000000000001 1.2571604807234562 0.08569441216202045 4.641320195041223 0.22636736018247086 773.189187240531 0.0 1.3498766185729465 0.1 20.0 12.602120902220456 7.528686075764487 14.679733146811348 19.090907486975848 4 0.9145217664380256 0.6868506336370035 1.0
41.751813735425344 41.751813735425344 1.4927087960833731 1.5906414886425635 0.30974395621146505 0.6000000000000001 0.6 1.7962496361615117 1.7710622400970908 1.8424086821527197 -1.4183920753001715 677.5059600427275 0.0 2.5311067744423297 0.1 20.0 14.45706331741244 8.819259475501852 16.93475767349216 36.347064966009384 4 -0.01984385926848421 0.07800819633575948 1.0
57.55039400587327 57.55039400587327 1.4968235835431958 0.9672847202407336 6.110990042671759 0.6 0.6 5.397628670023699 1.930090477282312 2.9780029373201446 0.5556559606388098 615.637160169052 0.0 1.6353338913432598 0.1 20.0 13.081913206059046 19.69521472341413 23.643983085179425 50.10052791972685 4 0.5675372399861202 0.07390529897514597 1.0
29.58462865598112 29.58462865598112 0.6714005003865291 0.42822604693489 1.2942656070563645 0.6 0.6 0.3229058791204585 1.3096124445000341 4.164901909887162 -0.7064024207615751 277.37420996621455 0.0 1.7795468164317494 0.1 20.0 38.34236813756785 56.60364758180828 68.36746385498243 25.754915141371022 4 0.9097038283086568 0.7829512063559733 1.0
34.64583147225666 34.64583147225666 1.1252725172535152 1.5336148493963762 0.3493603159469232 0.6 0.6 4.942681521326878 1.4494967715641525 0.9211620925108982 0.7897263107791995 773.9153238716159 0.0 0.8645890102590289 0.1 20.0 11.270014599488777 9.917703482669467 15.012463869826439 30.160948104035622 4 0.03717291099245662 0.4309306173042272 1.0
17.98447954693952 17.98447954693952 0.7679034115401242 0.7812318919834301 0.07519352739023377 0.6 0.6 1.6455737509473771 0.3185893119131009 6.077766956965396 -1.2211779557527167 792.6209481090538 0.0 1.6622552508589108 0.1 20.0 14.859930952379761 11.376988570415866 18.71505855830719 15.656398800175824 4 0.7100466345266343 0.71936859979616 1.0
60.39296679885884 60.39296679885884 1.5855408873626555 1.8403599319591009 0.011620882327028405 0.5999999999999999 0.6 5.716288774155268 1.806447946367414 6.094593170582392 -0.7505005105368231 695.983935864065 0.0 1.5663495991871557 0.1 20.0 7.0119317697760035 9.584061096453713 11.875243755163574 52.575131265870674 4 -0.2663108266618888 -0.014744026323910671 1.0
42.07842193252386 42.07842193252386 1.0630057691598007 1.8326365863472576 0.0839162674596659 0.6 0.6000000000000001 3.6562392149939855 1.6173054773220197 3.6480469651963294 -0.0914950528390717 532.6003648808584 0.0 1.6043148310023239 0.1 20.0 27.20566308646907 39.34640310674657 47.83604855559311 36.63139391597062 4 -0.2588585239683241 0.4862477782116161 1.0
37.286674711681826 37.286674711681826 1.4681815845592732 2.080885363186906 0.0649896600437474 0.6 0.6000000000000001 4.686240072190366 2.994863814201839 3.551148028448784 0.1319867338582192 495.1846841847294 0.0 2.089084971906299 0.1 20.0 48.46926688246441 65.80348145246796 81.72740056669402 32.459935673693955 4 -0.4882549509699043 0.1024347518236442 1.0
56.70229521594025 56.70229521594025 0.4359834867177227 0.6190630245014878 1.2172080921041408 0.6 0.6 5.246807660196856 1.6439508396569562 6.067663687311822 1.1638255148757923 790.9928449979332 0.0 2.9395390934557635 0.1 20.0 32.30628481522596 23.959788423521253 40.221480577701286 49.36221504041988 4 0.8144225150307558 0.9064551522504638 1.0
56.79581648920833 56.79581648920833 1.2537425904029569 1.5073074859691151 0.4921958257825598 0.6000000000000001 0.6000000000000001 3.2851089467468086 0.8948829298654251 1.957020702890499 -0.953608333627902 710.7028229974875 0.0 1.1118213278185511 0.1 20.0 52.881385210303144 34.94165168538594 63.38264687012765 49.44363003754359 4 0.06344619726964462 0.31176850160275565 1.0
64.18832717351113 64.18832717351113 0.365492265116272 0.1867396398050654 3.1002714560425115 0.6000000000000001 0.6 4.392598393833656 1.1163743102462085 2.8274518038319187 0.16063600421827684 737.8774708394541 0.0 0.7043588519366972 0.1 20.0 35.06051734037952 38.69936486932613 52.21954344365992 55.879184377936014 4 0.9826147627273676 0.9339479343050788 1.0
27.485995790916906 27.485995790916906 1.720790647949819 1.4404921239841282 5.47946597739071 0.6 0.6 0.6577760685718358 2.2426814888701365 0.3606751383602721 0.7622041057931227 740.1694907572506 0.0 1.9604383614383336 0.1 20.0 28.82919234323679 30.5376215286998 41.99605528848456 23.927949118537608 4 0.12993577253203215 -0.14943251739342076 1.0
58.70596174433022 58.70596174433022 0.4307041787111802 0.4115328937736941 2.3625336496070823 0.6 0.6 5.796572259468043 0.4848117831321018 0.7880590419694398 -0.9344538137803604 741.2902989576296 0.0 2.0023497137631043 0.1 20.0 48.25403798313425 42.24234006359743 64.13164176696532 51.106508065367365 4 0.9165087197906712 0.9086719727914132 1.0
